ASIANPAINT | ROCE | Calculated=34.89 | Source=41.75 | Difference=6.86 | Category=Version difference
ASIANPAINT | ROE | Calculated=23.31 | Source=31.45 | Difference=8.14 | Category=Version difference
ASIANPAINT | ROCE | Calculated=34.89 | Source=41.75 | Difference=6.86 | Category=Version difference
ASIANPAINT | ROE | Calculated=23.31 | Source=31.45 | Difference=8.14 | Category=Version difference
ASIANPAINT | ROCE | Calculated=34.94 | Source=41.75 | Difference=6.81 | Category=Version difference
ASIANPAINT | ROE | Calculated=25.04 | Source=31.45 | Difference=6.41 | Category=Version difference
ASIANPAINT | ROCE | Calculated=34.94 | Source=41.75 | Difference=6.81 | Category=Version difference
ASIANPAINT | ROE | Calculated=25.04 | Source=31.45 | Difference=6.41 | Category=Version difference
ASIANPAINT | ROCE | Calculated=31.20 | Source=41.75 | Difference=10.55 | Category=Formula discrepancy
ASIANPAINT | ROE | Calculated=22.34 | Source=31.45 | Difference=9.11 | Category=Version difference
ASIANPAINT | ROCE | Calculated=31.20 | Source=41.75 | Difference=10.55 | Category=Formula discrepancy
ASIANPAINT | ROE | Calculated=22.34 | Source=31.45 | Difference=9.11 | Category=Version difference
ASIANPAINT | ROCE | Calculated=34.92 | Source=41.75 | Difference=6.83 | Category=Version difference
ASIANPAINT | ROE | Calculated=26.23 | Source=31.45 | Difference=5.22 | Category=Version difference
ASIANPAINT | ROCE | Calculated=34.92 | Source=41.75 | Difference=6.83 | Category=Version difference
ASIANPAINT | ROE | Calculated=26.23 | Source=31.45 | Difference=5.22 | Category=Version difference
ASIANPAINT | ROCE | Calculated=35.77 | Source=41.75 | Difference=5.98 | Category=Version difference
ASIANPAINT | ROCE | Calculated=35.77 | Source=41.75 | Difference=5.98 | Category=Version difference
AXISBANK | ROE | Calculated=6.53 | Source=18.40 | Difference=11.87 | Category=Formula discrepancy
AXISBANK | ROE | Calculated=0.43 | Source=18.40 | Difference=17.97 | Category=Formula discrepancy
AXISBANK | ROE | Calculated=6.90 | Source=18.40 | Difference=11.50 | Category=Formula discrepancy
AXISBANK | ROE | Calculated=1.88 | Source=18.40 | Difference=16.52 | Category=Formula discrepancy
AXISBANK | ROE | Calculated=6.36 | Source=18.40 | Difference=12.04 | Category=Formula discrepancy
AXISBANK | ROE | Calculated=11.01 | Source=18.40 | Difference=7.39 | Category=Version difference
AXISBANK | ROE | Calculated=7.38 | Source=18.40 | Difference=11.02 | Category=Formula discrepancy
BAJAJ-AUTO | ROCE | Calculated=44.69 | Source=33.50 | Difference=11.19 | Category=Formula discrepancy
BAJAJ-AUTO | ROE | Calculated=38.85 | Source=26.50 | Difference=12.35 | Category=Formula discrepancy
BAJAJ-AUTO | ROCE | Calculated=44.69 | Source=33.50 | Difference=11.19 | Category=Formula discrepancy
BAJAJ-AUTO | ROE | Calculated=38.85 | Source=26.50 | Difference=12.35 | Category=Formula discrepancy
BAJAJ-AUTO | ROCE | Calculated=40.71 | Source=33.50 | Difference=7.21 | Category=Version difference
BAJAJ-AUTO | ROE | Calculated=33.24 | Source=26.50 | Difference=6.74 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=40.71 | Source=33.50 | Difference=7.21 | Category=Version difference
BAJAJ-AUTO | ROE | Calculated=33.24 | Source=26.50 | Difference=6.74 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=24.64 | Source=33.50 | Difference=8.86 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=24.64 | Source=33.50 | Difference=8.86 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=23.59 | Source=33.50 | Difference=9.91 | Category=Version difference
BAJAJ-AUTO | ROE | Calculated=20.66 | Source=26.50 | Difference=5.84 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=23.59 | Source=33.50 | Difference=9.91 | Category=Version difference
BAJAJ-AUTO | ROE | Calculated=20.66 | Source=26.50 | Difference=5.84 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=22.25 | Source=33.50 | Difference=11.25 | Category=Formula discrepancy
BAJAJ-AUTO | ROE | Calculated=21.21 | Source=26.50 | Difference=5.29 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=22.25 | Source=33.50 | Difference=11.25 | Category=Formula discrepancy
BAJAJ-AUTO | ROE | Calculated=21.21 | Source=26.50 | Difference=5.29 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=23.45 | Source=33.50 | Difference=10.05 | Category=Formula discrepancy
BAJAJ-AUTO | ROCE | Calculated=23.45 | Source=33.50 | Difference=10.05 | Category=Formula discrepancy
BAJAJ-AUTO | ROCE | Calculated=18.03 | Source=33.50 | Difference=15.47 | Category=Formula discrepancy
BAJAJ-AUTO | ROE | Calculated=17.81 | Source=26.50 | Difference=8.69 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=18.03 | Source=33.50 | Difference=15.47 | Category=Formula discrepancy
BAJAJ-AUTO | ROE | Calculated=17.81 | Source=26.50 | Difference=8.69 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=17.54 | Source=33.50 | Difference=15.96 | Category=Formula discrepancy
BAJAJ-AUTO | ROE | Calculated=20.65 | Source=26.50 | Difference=5.85 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=17.54 | Source=33.50 | Difference=15.96 | Category=Formula discrepancy
BAJAJ-AUTO | ROE | Calculated=20.65 | Source=26.50 | Difference=5.85 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=21.93 | Source=33.50 | Difference=11.57 | Category=Formula discrepancy
BAJAJ-AUTO | ROE | Calculated=20.64 | Source=26.50 | Difference=5.86 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=21.93 | Source=33.50 | Difference=11.57 | Category=Formula discrepancy
BAJAJ-AUTO | ROE | Calculated=20.64 | Source=26.50 | Difference=5.86 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=28.39 | Source=33.50 | Difference=5.11 | Category=Version difference
BAJAJ-AUTO | ROCE | Calculated=28.39 | Source=33.50 | Difference=5.11 | Category=Version difference
BAJAJFINSV | ROE | Calculated=28.38 | Source=11.72 | Difference=16.66 | Category=Formula discrepancy
BAJAJFINSV | ROCE | Calculated=15.58 | Source=21.14 | Difference=5.56 | Category=Version difference
BAJAJFINSV | ROE | Calculated=23.53 | Source=11.72 | Difference=11.81 | Category=Formula discrepancy
BAJAJFINSV | ROCE | Calculated=14.73 | Source=21.14 | Difference=6.41 | Category=Version difference
BAJAJFINSV | ROE | Calculated=21.72 | Source=11.72 | Difference=10.00 | Category=Version difference
BAJAJFINSV | ROCE | Calculated=13.57 | Source=21.14 | Difference=7.57 | Category=Version difference
BAJAJFINSV | ROE | Calculated=20.41 | Source=11.72 | Difference=8.69 | Category=Version difference
BAJAJFINSV | ROCE | Calculated=13.52 | Source=21.14 | Difference=7.62 | Category=Version difference
BAJAJFINSV | ROE | Calculated=21.36 | Source=11.72 | Difference=9.64 | Category=Version difference
BAJAJFINSV | ROCE | Calculated=12.52 | Source=21.14 | Difference=8.62 | Category=Version difference
BAJAJFINSV | ROE | Calculated=20.39 | Source=11.72 | Difference=8.67 | Category=Version difference
BAJAJFINSV | ROCE | Calculated=12.18 | Source=21.14 | Difference=8.96 | Category=Version difference
BAJAJFINSV | ROE | Calculated=22.64 | Source=11.72 | Difference=10.92 | Category=Formula discrepancy
BAJAJFINSV | ROCE | Calculated=11.52 | Source=21.14 | Difference=9.62 | Category=Version difference
BAJAJFINSV | ROE | Calculated=19.15 | Source=11.72 | Difference=7.43 | Category=Version difference
BAJAJFINSV | ROCE | Calculated=11.96 | Source=21.14 | Difference=9.18 | Category=Version difference
BAJAJFINSV | ROE | Calculated=20.56 | Source=11.72 | Difference=8.84 | Category=Version difference
BAJAJFINSV | ROCE | Calculated=10.65 | Source=21.14 | Difference=10.49 | Category=Formula discrepancy
BAJAJFINSV | ROE | Calculated=20.66 | Source=11.72 | Difference=8.94 | Category=Version difference
BAJAJFINSV | ROCE | Calculated=11.55 | Source=21.14 | Difference=9.59 | Category=Version difference
BAJAJFINSV | ROE | Calculated=26.31 | Source=11.72 | Difference=14.59 | Category=Formula discrepancy
BAJAJFINSV | ROCE | Calculated=11.71 | Source=21.14 | Difference=9.43 | Category=Version difference
BAJAJFINSV | ROE | Calculated=25.85 | Source=11.72 | Difference=14.13 | Category=Formula discrepancy
BAJAJHLDNG | ROCE | Calculated=3.11 | Source=13.10 | Difference=9.99 | Category=Version difference
BAJAJHLDNG | ROCE | Calculated=3.33 | Source=13.10 | Difference=9.77 | Category=Version difference
BAJAJHLDNG | ROCE | Calculated=3.61 | Source=13.10 | Difference=9.49 | Category=Version difference
BAJAJHLDNG | ROCE | Calculated=2.81 | Source=13.10 | Difference=10.29 | Category=Formula discrepancy
BAJAJHLDNG | ROCE | Calculated=3.52 | Source=13.10 | Difference=9.58 | Category=Version difference
BAJAJHLDNG | ROCE | Calculated=1.41 | Source=13.10 | Difference=11.69 | Category=Formula discrepancy
BAJAJHLDNG | ROCE | Calculated=1.29 | Source=13.10 | Difference=11.81 | Category=Formula discrepancy
BAJAJHLDNG | ROCE | Calculated=1.08 | Source=13.10 | Difference=12.02 | Category=Formula discrepancy
BAJAJHLDNG | ROCE | Calculated=0.94 | Source=13.10 | Difference=12.16 | Category=Formula discrepancy
BAJAJHLDNG | ROCE | Calculated=0.85 | Source=13.10 | Difference=12.25 | Category=Formula discrepancy
BAJAJHLDNG | ROE | Calculated=9.63 | Source=14.80 | Difference=5.17 | Category=Version difference
BAJAJHLDNG | ROCE | Calculated=0.86 | Source=13.10 | Difference=12.24 | Category=Formula discrepancy
BAJAJHLDNG | ROCE | Calculated=2.88 | Source=13.10 | Difference=10.22 | Category=Formula discrepancy
BAJFINANCE | ROCE | Calculated=5.57 | Source=11.90 | Difference=6.33 | Category=Version difference
BAJFINANCE | ROCE | Calculated=5.30 | Source=11.90 | Difference=6.60 | Category=Version difference
BAJFINANCE | ROCE | Calculated=5.52 | Source=11.90 | Difference=6.38 | Category=Version difference
BAJFINANCE | ROCE | Calculated=4.99 | Source=11.90 | Difference=6.91 | Category=Version difference
BAJFINANCE | ROE | Calculated=15.75 | Source=22.10 | Difference=6.35 | Category=Version difference
BAJFINANCE | ROCE | Calculated=4.50 | Source=11.90 | Difference=7.40 | Category=Version difference
BAJFINANCE | ROCE | Calculated=5.65 | Source=11.90 | Difference=6.25 | Category=Version difference
BAJFINANCE | ROE | Calculated=16.28 | Source=22.10 | Difference=5.82 | Category=Version difference
BAJFINANCE | ROCE | Calculated=6.43 | Source=11.90 | Difference=5.47 | Category=Version difference
BAJFINANCE | ROE | Calculated=11.97 | Source=22.10 | Difference=10.13 | Category=Formula discrepancy
BAJFINANCE | ROCE | Calculated=5.69 | Source=11.90 | Difference=6.21 | Category=Version difference
BAJFINANCE | ROE | Calculated=16.08 | Source=22.10 | Difference=6.02 | Category=Version difference
BAJFINANCE | ROCE | Calculated=4.68 | Source=11.90 | Difference=7.22 | Category=Version difference
BAJFINANCE | ROCE | Calculated=4.35 | Source=11.90 | Difference=7.55 | Category=Version difference
BANKBARODA | ROE | Calculated=9.40 | Source=16.70 | Difference=7.30 | Category=Version difference
BANKBARODA | ROE | Calculated=-11.84 | Source=16.70 | Difference=28.54 | Category=Formula discrepancy
BANKBARODA | ROE | Calculated=4.31 | Source=16.70 | Difference=12.39 | Category=Formula discrepancy
BANKBARODA | ROE | Calculated=-3.94 | Source=16.70 | Difference=20.64 | Category=Formula discrepancy
BANKBARODA | ROE | Calculated=2.12 | Source=16.70 | Difference=14.58 | Category=Formula discrepancy
BANKBARODA | ROE | Calculated=1.29 | Source=16.70 | Difference=15.41 | Category=Formula discrepancy
BANKBARODA | ROE | Calculated=1.97 | Source=16.70 | Difference=14.73 | Category=Formula discrepancy
BANKBARODA | ROE | Calculated=8.64 | Source=16.70 | Difference=8.06 | Category=Version difference
BEL | ROCE | Calculated=2230.00 | Source=34.60 | Difference=2195.40 | Category=Formula discrepancy
BEL | ROE | Calculated=15183.33 | Source=26.30 | Difference=15157.03 | Category=Formula discrepancy
BEL | ROCE | Calculated=3303.57 | Source=34.60 | Difference=3268.97 | Category=Formula discrepancy
BEL | ROE | Calculated=13600.00 | Source=26.30 | Difference=13573.70 | Category=Formula discrepancy
BEL | ROCE | Calculated=3572.73 | Source=34.60 | Difference=3538.13 | Category=Formula discrepancy
BEL | ROE | Calculated=17100.00 | Source=26.30 | Difference=17073.70 | Category=Formula discrepancy
BEL | ROCE | Calculated=3764.86 | Source=34.60 | Difference=3730.26 | Category=Formula discrepancy
BEL | ROE | Calculated=11141.67 | Source=26.30 | Difference=11115.37 | Category=Formula discrepancy
BEL | ROCE | Calculated=4072.73 | Source=34.60 | Difference=4038.13 | Category=Formula discrepancy
BEL | ROE | Calculated=10153.33 | Source=26.30 | Difference=10127.03 | Category=Formula discrepancy
BEL | ROCE | Calculated=2581.01 | Source=34.60 | Difference=2546.41 | Category=Formula discrepancy
BEL | ROE | Calculated=4616.13 | Source=26.30 | Difference=4589.83 | Category=Formula discrepancy
BEL | ROCE | Calculated=3030.21 | Source=34.60 | Difference=2995.61 | Category=Formula discrepancy
BEL | ROE | Calculated=3851.02 | Source=26.30 | Difference=3824.72 | Category=Formula discrepancy
BEL | ROCE | Calculated=2786.87 | Source=34.60 | Difference=2752.27 | Category=Formula discrepancy
BEL | ROE | Calculated=3318.18 | Source=26.30 | Difference=3291.88 | Category=Formula discrepancy
BEL | ROCE | Calculated=2975.93 | Source=34.60 | Difference=2941.33 | Category=Formula discrepancy
BEL | ROE | Calculated=3559.32 | Source=26.30 | Difference=3533.02 | Category=Formula discrepancy
BEL | ROCE | Calculated=2633.07 | Source=34.60 | Difference=2598.47 | Category=Formula discrepancy
BEL | ROE | Calculated=3478.26 | Source=26.30 | Difference=3451.96 | Category=Formula discrepancy
BEL | ROCE | Calculated=3587.72 | Source=34.60 | Difference=3553.12 | Category=Formula discrepancy
BEL | ROE | Calculated=3981.33 | Source=26.30 | Difference=3955.03 | Category=Formula discrepancy
