company_id,from_year,to_year,previous_pattern,new_pattern,change
ADANIENSOL,2022,2023,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIENSOL,2023,2024,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIENT,2013,2014,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIENT,2014,2015,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIENT,2015,2016,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIENT,2016,2017,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIENT,2018,2019,Mixed,Liquidating Assets,Mixed -> Liquidating Assets
ADANIENT,2019,2020,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
ADANIENT,2020,2021,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIENT,2022,2023,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIENT,2023,2024,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIGREEN,2022,2023,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIGREEN,2023,2024,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIPORTS,2014,2015,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIPORTS,2015,2016,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIPORTS,2016,2017,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIPORTS,2018,2019,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIPORTS,2019,2020,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIPORTS,2020,2021,Reinvestor,Mixed,Reinvestor -> Mixed
ADANIPORTS,2021,2022,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIPOWER,2014,2015,Mixed,Reinvestor,Mixed -> Reinvestor
ADANIPOWER,2021,2022,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
AMBUJACEM,2021,2023,Reinvestor,Mixed,Reinvestor -> Mixed
APOLLOHOSP,2013,2014,Mixed,Reinvestor,Mixed -> Reinvestor
APOLLOHOSP,2014,2015,Reinvestor,Mixed,Reinvestor -> Mixed
APOLLOHOSP,2017,2018,Mixed,Reinvestor,Mixed -> Reinvestor
AXISBANK,2014,2015,Mixed,Growth Funded by Debt,Mixed -> Growth Funded by Debt
AXISBANK,2015,2016,Growth Funded by Debt,Distress Signal,Growth Funded by Debt -> Distress Signal
AXISBANK,2016,2017,Distress Signal,Reinvestor,Distress Signal -> Reinvestor
AXISBANK,2017,2018,Reinvestor,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
AXISBANK,2018,2019,Growth Funded by Debt,Mixed,Growth Funded by Debt -> Mixed
AXISBANK,2023,2024,Mixed,Growth Funded by Debt,Mixed -> Growth Funded by Debt
BAJAJ-AUTO,2019,2020,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
BAJAJ-AUTO,2020,2021,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
BAJAJ-AUTO,2021,2022,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
BAJAJ-AUTO,2023,2024,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
BAJAJFINSV,2015,2016,Distress Signal,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
BAJAJFINSV,2016,2017,Growth Funded by Debt,Distress Signal,Growth Funded by Debt -> Distress Signal
BAJAJFINSV,2017,2018,Distress Signal,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
BAJAJFINSV,2020,2021,Growth Funded by Debt,Mixed,Growth Funded by Debt -> Mixed
BAJAJFINSV,2021,2022,Mixed,Distress Signal,Mixed -> Distress Signal
BAJAJFINSV,2022,2023,Distress Signal,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
BAJAJHLDNG,2015,2016,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
BAJAJHLDNG,2016,2017,Liquidating Assets,Pre-Revenue,Liquidating Assets -> Pre-Revenue
BAJAJHLDNG,2017,2018,Pre-Revenue,Reinvestor,Pre-Revenue -> Reinvestor
BAJFINANCE,2017,2018,Growth Funded by Debt,Distress Signal,Growth Funded by Debt -> Distress Signal
BAJFINANCE,2018,2019,Distress Signal,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
BAJFINANCE,2021,2022,Growth Funded by Debt,Distress Signal,Growth Funded by Debt -> Distress Signal
BAJFINANCE,2022,2023,Distress Signal,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
BANKBARODA,2013,2014,Reinvestor,Mixed,Reinvestor -> Mixed
BANKBARODA,2014,2015,Mixed,Reinvestor,Mixed -> Reinvestor
BANKBARODA,2015,2016,Reinvestor,Pre-Revenue,Reinvestor -> Pre-Revenue
BANKBARODA,2016,2017,Pre-Revenue,Reinvestor,Pre-Revenue -> Reinvestor
BANKBARODA,2017,2018,Reinvestor,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
BANKBARODA,2019,2020,Growth Funded by Debt,Mixed,Growth Funded by Debt -> Mixed
BANKBARODA,2020,2021,Mixed,Pre-Revenue,Mixed -> Pre-Revenue
BANKBARODA,2021,2022,Pre-Revenue,Reinvestor,Pre-Revenue -> Reinvestor
BANKBARODA,2022,2023,Reinvestor,Pre-Revenue,Reinvestor -> Pre-Revenue
BANKBARODA,2023,2024,Pre-Revenue,Growth Funded by Debt,Pre-Revenue -> Growth Funded by Debt
BEL,2014,2015,Unknown,Reinvestor,Unknown -> Reinvestor
BEL,2016,2017,Reinvestor,Unknown,Reinvestor -> Unknown
BEL,2017,2018,Unknown,Pre-Revenue,Unknown -> Pre-Revenue
BEL,2018,2019,Pre-Revenue,Reinvestor,Pre-Revenue -> Reinvestor
BEL,2022,2023,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
BEL,2023,2024,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
BHARTIARTL,2013,2014,Reinvestor,Mixed,Reinvestor -> Mixed
BHARTIARTL,2014,2015,Mixed,Reinvestor,Mixed -> Reinvestor
BHARTIARTL,2017,2018,Reinvestor,Mixed,Reinvestor -> Mixed
BHARTIARTL,2020,2021,Mixed,Reinvestor,Mixed -> Reinvestor
BHEL,2014,2015,Mixed,Liquidating Assets,Mixed -> Liquidating Assets
BHEL,2016,2017,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
BHEL,2017,2018,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
BHEL,2018,2019,Liquidating Assets,Unknown,Liquidating Assets -> Unknown
BHEL,2019,2020,Unknown,Distress Signal,Unknown -> Distress Signal
BHEL,2020,2021,Distress Signal,Reinvestor,Distress Signal -> Reinvestor
BHEL,2022,2023,Reinvestor,Distress Signal,Reinvestor -> Distress Signal
BOSCHLTD,2016,2017,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
BOSCHLTD,2017,2018,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
BOSCHLTD,2018,2019,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
BOSCHLTD,2019,2020,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
