company_id,from_year,to_year,previous_pattern,new_pattern,change
IOC,2018,2019,Reinvestor,Mixed,Reinvestor -> Mixed
IOC,2020,2021,Mixed,Reinvestor,Mixed -> Reinvestor
IRCTC,2015,2016,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
IRCTC,2018,2019,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
IRCTC,2019,2020,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
IRCTC,2020,2021,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
IRFC,2021,2022,Distress Signal,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
IRFC,2022,2023,Growth Funded by Debt,Distress Signal,Growth Funded by Debt -> Distress Signal
IRFC,2023,2024,Distress Signal,Reinvestor,Distress Signal -> Reinvestor
ITC,2020,2021,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
ITC,2021,2022,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
ITC,2023,2024,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
JINDALSTEL,2015,2016,Mixed,Reinvestor,Mixed -> Reinvestor
JINDALSTEL,2023,2024,Reinvestor,Mixed,Reinvestor -> Mixed
JIOFIN,2023,2024,Reinvestor,Unknown,Reinvestor -> Unknown
JSWENERGY,2019,2020,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
JSWENERGY,2020,2021,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
JSWENERGY,2022,2023,Reinvestor,Mixed,Reinvestor -> Mixed
JSWSTEEL,2013,2014,Reinvestor,Mixed,Reinvestor -> Mixed
JSWSTEEL,2014,2015,Mixed,Reinvestor,Mixed -> Reinvestor
JSWSTEEL,2018,2019,Reinvestor,Mixed,Reinvestor -> Mixed
JSWSTEEL,2020,2021,Mixed,Reinvestor,Mixed -> Reinvestor
KOTAKBANK,2013,2014,Mixed,Reinvestor,Mixed -> Reinvestor
KOTAKBANK,2014,2015,Reinvestor,Mixed,Reinvestor -> Mixed
KOTAKBANK,2017,2018,Mixed,Growth Funded by Debt,Mixed -> Growth Funded by Debt
KOTAKBANK,2018,2019,Growth Funded by Debt,Mixed,Growth Funded by Debt -> Mixed
KOTAKBANK,2019,2020,Mixed,Reinvestor,Mixed -> Reinvestor
KOTAKBANK,2021,2022,Reinvestor,Mixed,Reinvestor -> Mixed
KOTAKBANK,2022,2023,Mixed,Growth Funded by Debt,Mixed -> Growth Funded by Debt
KOTAKBANK,2023,2024,Growth Funded by Debt,Mixed,Growth Funded by Debt -> Mixed
LICI,2019,2020,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
LICI,2020,2021,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
LICI,2021,2022,Liquidating Assets,Distress Signal,Liquidating Assets -> Distress Signal
LICI,2022,2023,Distress Signal,Reinvestor,Distress Signal -> Reinvestor
LODHA,2016,2017,Mixed,Reinvestor,Mixed -> Reinvestor
LODHA,2017,2018,Reinvestor,Mixed,Reinvestor -> Mixed
LODHA,2018,2019,Mixed,Growth Funded by Debt,Mixed -> Growth Funded by Debt
LODHA,2019,2020,Growth Funded by Debt,Liquidating Assets,Growth Funded by Debt -> Liquidating Assets
LODHA,2023,2024,Liquidating Assets,Mixed,Liquidating Assets -> Mixed
LT,2016,2017,Growth Funded by Debt,Mixed,Growth Funded by Debt -> Mixed
LT,2017,2018,Mixed,Distress Signal,Mixed -> Distress Signal
LT,2018,2019,Distress Signal,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
LT,2019,2020,Growth Funded by Debt,Mixed,Growth Funded by Debt -> Mixed
LT,2020,2021,Mixed,Reinvestor,Mixed -> Reinvestor
LT,2023,2024,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
LTIM,2013,2014,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
LTIM,2014,2015,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
M&M,2014,2015,Growth Funded by Debt,Mixed,Growth Funded by Debt -> Mixed
M&M,2018,2019,Mixed,Growth Funded by Debt,Mixed -> Growth Funded by Debt
M&M,2020,2021,Growth Funded by Debt,Mixed,Growth Funded by Debt -> Mixed
M&M,2021,2022,Mixed,Reinvestor,Mixed -> Reinvestor
M&M,2022,2023,Reinvestor,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
MOTHERSON,2014,2015,Reinvestor,Mixed,Reinvestor -> Mixed
MOTHERSON,2015,2016,Mixed,Reinvestor,Mixed -> Reinvestor
MOTHERSON,2016,2017,Reinvestor,Mixed,Reinvestor -> Mixed
MOTHERSON,2017,2018,Mixed,Reinvestor,Mixed -> Reinvestor
MOTHERSON,2023,2024,Reinvestor,Mixed,Reinvestor -> Mixed
NAUKRI,2013,2014,Reinvestor,Mixed,Reinvestor -> Mixed
NAUKRI,2015,2016,Mixed,Reinvestor,Mixed -> Reinvestor
NAUKRI,2019,2020,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
NAUKRI,2020,2021,Liquidating Assets,Mixed,Liquidating Assets -> Mixed
NESTLEIND,2018,2019,Reinvestor,Liquidating Assets,Reinvestor -> Liquidating Assets
NESTLEIND,2019,2020,Liquidating Assets,Reinvestor,Liquidating Assets -> Reinvestor
NHPC,2019,2020,Reinvestor,Mixed,Reinvestor -> Mixed
NHPC,2020,2021,Mixed,Reinvestor,Mixed -> Reinvestor
NTPC,2013,2014,Mixed,Reinvestor,Mixed -> Reinvestor
NTPC,2016,2017,Reinvestor,Mixed,Reinvestor -> Mixed
NTPC,2020,2021,Mixed,Reinvestor,Mixed -> Reinvestor
ONGC,2013,2014,Reinvestor,Mixed,Reinvestor -> Mixed
ONGC,2014,2015,Mixed,Reinvestor,Mixed -> Reinvestor
ONGC,2017,2018,Reinvestor,Mixed,Reinvestor -> Mixed
ONGC,2018,2019,Mixed,Reinvestor,Mixed -> Reinvestor
PFC,2014,2015,Distress Signal,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
PFC,2016,2017,Growth Funded by Debt,Mixed,Growth Funded by Debt -> Mixed
PFC,2017,2018,Mixed,Distress Signal,Mixed -> Distress Signal
PFC,2018,2019,Distress Signal,Growth Funded by Debt,Distress Signal -> Growth Funded by Debt
PFC,2020,2021,Growth Funded by Debt,Distress Signal,Growth Funded by Debt -> Distress Signal
PFC,2021,2022,Distress Signal,Reinvestor,Distress Signal -> Reinvestor
PFC,2022,2023,Reinvestor,Growth Funded by Debt,Reinvestor -> Growth Funded by Debt
PIDILITIND,2016,2017,Reinvestor,Mixed,Reinvestor -> Mixed
PIDILITIND,2017,2018,Mixed,Liquidating Assets,Mixed -> Liquidating Assets
